row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-AUO97_RS00135	100.24846175547857	1.780566418537904	0.34005558687918436	5.236103999580831	1.6400156493531135e-7	5.326406381176834e-5
gene-AUO97_RS00165	2.963762078192179	-3.887450397023992	1.2169400277763553	-3.1944469803719966	0.0014009901653223471	0.04707004888778415
gene-AUO97_RS00280	135.85899015239556	3.1412005850280513	0.5067223924718097	6.199056192691947	5.680275056661885e-10	5.862767903777933e-7
gene-AUO97_RS00765	6.267634087204898	2.5926738554001334	0.6904798159984872	3.7548872469949415	1.7341952929846849e-4	0.012069173431891034
gene-AUO97_RS01995	14.619328699279711	-1.6425243542701	0.5179236901520393	-3.171363630398772	0.0015172508695316116	0.04873543177627364
gene-AUO97_RS02140	11.211173416297736	-1.641232730710074	0.4811176682821519	-3.411291746092292	6.465587047891709e-4	0.03258432920859908
gene-AUO97_RS02210	8.340723629962074	-2.3378103040869354	0.6431099232195274	-3.635164409193725	2.7780341231348123e-4	0.01845498577709786
gene-AUO97_RS02945	23.749635534052036	-1.9477381386444717	0.48588780206894544	-4.008617072399969	6.107535888421628e-5	0.005578852313080131
gene-AUO97_RS03550	21.505060383354387	-1.8189299068277118	0.45262243635638644	-4.018647244865079	5.853322585166843e-5	0.005578852313080131
gene-AUO97_RS03760	96.4426975279045	-1.9616745531378608	0.35601037498906324	-5.5101611945947475	3.5850523626366437e-8	1.4970154365695584e-5
gene-AUO97_RS03800	15.827157807477892	-2.13814561099017	0.6340171183348828	-3.372378361968483	7.452199579158934e-4	0.03300421116648722
gene-AUO97_RS04650	28.613348555042105	2.3024438607869957	0.6899349363969289	3.3371898411336116	8.463012063249434e-4	0.035339120372683
gene-AUO97_RS05665	6.349428838923114	2.24262962106299	0.6572406459895632	3.4121894845477985	6.44433005628178e-4	0.03258432920859908
gene-AUO97_RS05965	21.47494886113673	2.968080196124218	0.7026735512681556	4.2239816637008065	2.400235869988302e-5	0.0030306372583771557
gene-AUO97_RS06400	50.81325344761275	-1.6670987491875402	0.3497674571748935	-4.766306055608668	1.8763417157293019e-6	5.484546835076749e-4
gene-AUO97_RS06520	6.5525169378986154	2.7451646126950466	0.8547766356362965	3.2115578482693827	0.0013201738832780978	0.04668835237975751
gene-AUO97_RS06990	262.3505516394446	-1.5916944691709503	0.25714051346577005	-6.189979352992281	6.017209617288333e-10	5.862767903777933e-7
gene-AUO97_RS07035	12.82671696165998	-1.552356663114706	0.44300192132991	-3.504175915207021	4.5802268586198904e-4	0.02625098648577635
gene-AUO97_RS07110	7.108517396345839	-4.931659252623883	1.1255617725012739	-4.381509192218326	1.1786007048482744e-5	0.0017225249301357532
gene-AUO97_RS07115	8.680484225740972	-3.5087350569803784	0.9780640073823776	-3.587428870193181	3.339547929940521e-4	0.021220649128730746
gene-AUO97_RS07170	28.970645593276505	-2.2156972023133212	0.4046848620697266	-5.4751175790992646	4.372212046963302e-8	1.5974969766592167e-5
