row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-AUO97_RS00005	0.23407810872018256	2.038895344285765	6.786684899841144	0.30042581530984136	0.7638523748352262	NA
gene-AUO97_RS00010	18.254763868049015	-0.19998247278832107	0.2972151633568168	-0.6728542061235125	0.5010400482793147	0.836313060497452
gene-AUO97_RS00015	1.8492694115281165	1.470342307837139	0.8186615382337364	1.79603198534208	0.0724894302266745	NA
gene-AUO97_RS00020	38.393056615602404	-0.9033141408131178	0.35277673186430886	-2.560583108867186	0.010449666638456728	0.11354336852063861
gene-AUO97_RS00025	15.437192834841929	-0.2092061423738485	0.539120867561245	-0.38805053738729994	0.6979786347422088	0.9260137117692624
gene-AUO97_RS00030	0.7984750826935338	0.08168314272944358	1.5545648954612667	0.052544054589118164	0.9580951933088497	NA
gene-AUO97_RS00035	3.2830086101302656	0.4438965224150879	0.7223789751076284	0.6144925831333216	0.5388898727162574	NA
gene-AUO97_RS00040	2.962183781972512	1.7667553313479847	0.9480647190230058	1.8635387393897025	0.06238650745647545	NA
gene-AUO97_RS00045	1.6394690440346265	0.6865056701088754	0.8945075763205679	0.7674676976272473	0.4428034917197903	NA
gene-AUO97_RS00050	4.925451021423902	0.1844333759326738	0.5922682520121253	0.3114017597703312	0.7554952162626632	0.949023212222297
gene-AUO97_RS00055	0.2397817087690305	-0.5749998850016994	3.2919552679688318	-0.1746681950986776	0.8613403601749844	NA
gene-AUO97_RS00060	1.7725487844658478	0.20103726315921608	0.8953967691402539	0.2245231053851679	0.8223502903016549	NA
gene-AUO97_RS00065	17.241274081877926	0.687645356663255	0.3176442554798398	2.1648285615128913	0.03040081667136026	0.23783572242560844
gene-AUO97_RS00070	6.7304011488287445	0.9129930570280759	0.5965731858693453	1.530395731242318	0.12591880497355404	0.483684836780575
gene-AUO97_RS00075	14.50790333110986	-1.0584472627448342	0.321627024476771	-3.290915197399026	9.986201264189178e-4	0.019937663455053947
gene-AUO97_RS00080	1.356438250858757	1.2919359300792825	1.5210940353885134	0.849346522977654	0.3956885006117205	NA
